Nr,Lytis,Trukme(dienos),Amzius(men),Atvykimo ketvirtis,Spalva,Dydis,Atidavimo ketvirtis,Amžiaus grupė
1,m,200,10,3,smelio,2,1,Šuniukas
2,v,158,19,4,ruda,3,1,Jaunas
3,v,22,146,1,juoda,2,1,Senjoras
4,v,28,6,1,juoda,2,1,Šuniukas
5,m,112,81,4,balta,1,1,Senjoras
6,v,87,94,4,balta,1,4,Senjoras
7,v,140,25,3,juoda,2,1,Suaugęs
8,m,66,71,4,juoda,1,1,Suaugęs
9,v,104,98,4,juoda,2,1,Senjoras
10,m,279,12,1,juoda,3,4,Šuniukas
11,m,174,13,2,juoda,1,4,Jaunas
12,v,28,24,4,ruda,3,4,Jaunas
13,v,48,2,3,ruda,1,4,Šuniukas
14,v,36,2,3,ruda,1,4,Šuniukas
15,v,90,24,3,juoda,1,4,Jaunas
16,v,23,2,1,balta,2,1,Šuniukas
17,m,123,20,3,juoda,2,1,Jaunas
18,v,444,20,3,ruda,2,4,Jaunas
19,m,45,2,4,balta,1,1,Šuniukas
20,m,123,2,3,juoda,1,4,Šuniukas
21,m,27,111,3,ruda,2,4,Senjoras
22,v,39,3,4,balta,2,4,Šuniukas
23,m,276,5,4,juoda,3,3,Šuniukas
24,m,87,2,3,ruda,1,4,Šuniukas
25,m,28,114,4,ruda,2,4,Senjoras
26,v,645,70,1,juoda,2,4,Suaugęs
27,v,47,99,4,ruda,1,4,Senjoras
28,v,155,49,3,balta,2,1,Suaugęs
29,v,80,74,4,juoda,2,1,Senjoras
30,m,28,7,4,ruda,1,1,Šuniukas
31,v,143,25,3,ruda,1,4,Suaugęs
32,m,10,2,1,balta,2,1,Šuniukas
33,m,25,3,1,juoda,2,1,Šuniukas
34,m,26,49,3,pilka,2,4,Suaugęs
35,v,16,2,1,balta,3,1,Šuniukas
36,v,15,3,1,juoda,1,1,Šuniukas
37,m,74,2,4,ruda,1,1,Šuniukas
38,m,78,6,4,ruda,2,1,Šuniukas
39,m,96,6,4,juoda,2,1,Šuniukas
40,v,158,73,3,juoda,2,4,Senjoras
41,v,33,2,4,ruda,2,4,Šuniukas
42,m,5,4,2,ruda,3,2,Šuniukas
43,v,30,98,4,juoda,1,4,Senjoras
44,v,133,24,4,juoda,2,2,Jaunas
45,m,102,85,4,juoda,2,1,Senjoras
46,v,92,29,2,ruda,2,3,Suaugęs
47,v,571,13,1,juoda,1,3,Jaunas
48,v,47,12,3,juoda,2,3,Šuniukas
49,v,249,61,4,ruda,3,3,Suaugęs
50,m,71,24,3,ruda,3,4,Jaunas
51,m,150,3,4,juoda,3,1,Šuniukas
52,m,228,36,1,juoda,2,3,Suaugęs
53,m,480,12,3,juoda,2,4,Šuniukas
54,v,138,61,1,juoda,1,3,Suaugęs
55,v,116,37,2,ruda,3,3,Suaugęs
56,m,29,4,3,smelio,3,3,Šuniukas
57,m,123,24,2,pilka,3,3,Jaunas
58,v,26,3,3,pilka,2,3,Šuniukas
59,m,534,59,4,smelio,3,2,Suaugęs
60,m,36,24,3,balta,2,4,Jaunas
61,v,8,3,4,ruda,2,4,Šuniukas
62,v,14,3,4,ruda,2,4,Šuniukas
63,v,291,49,4,ruda,2,4,Suaugęs
64,m,659,36,1,pilka,2,4,Suaugęs
65,v,594,49,2,ruda,3,4,Suaugęs
66,m,5,24,4,ruda,2,4,Jaunas
67,m,32,25,4,juoda,2,4,Suaugęs
68,m,94,24,4,ruda,2,1,Jaunas
69,v,69,12,3,ruda,1,4,Šuniukas
70,m,93,12,3,juoda,2,4,Šuniukas
71,m,221,24,3,ruda,2,2,Jaunas
72,v,211,13,1,ruda,1,4,Jaunas
73,m,256,115,4,juoda,2,3,Senjoras
74,m,15,61,4,ruda,3,4,Suaugęs
75,m,33,3,3,ruda,3,3,Šuniukas
76,m,49,11,3,smelio,2,4,Šuniukas
77,v,590,22,1,ruda,3,3,Jaunas
78,m,17,2,3,juoda,2,3,Šuniukas
79,v,37,24,3,juoda,2,3,Jaunas
80,v,35,24,3,ruda,2,3,Jaunas
81,v,34,12,4,ruda,2,4,Šuniukas
82,m,36,39,4,ruda,2,4,Suaugęs
83,v,18,13,4,juoda,3,4,Jaunas
84,v,289,85,4,juoda,2,3,Senjoras
85,v,173,123,1,ruda,1,3,Senjoras
86,v,114,3,2,juoda,2,3,Šuniukas
87,m,745,73,1,juoda,2,1,Senjoras
88,v,245,24,2,ruda,3,1,Jaunas
89,m,138,12,3,smelio,1,1,Šuniukas
90,m,133,95,4,ruda,3,1,Senjoras
91,m,80,24,4,ruda,3,1,Jaunas
92,m,208,12,3,ruda,1,1,Šuniukas
93,m,187,61,3,smelio,2,1,Suaugęs
94,v,77,18,4,juoda,3,1,Jaunas
95,m,125,134,4,ruda,3,1,Senjoras
96,m,148,24,3,juoda,3,1,Jaunas
97,m,57,12,4,ruda,2,1,Šuniukas
98,m,72,14,4,juoda,2,1,Jaunas
99,m,97,24,4,ruda,2,1,Jaunas
100,v,122,9,3,ruda,3,1,Šuniukas
101,m,18,12,4,ruda,3,1,Šuniukas
102,m,24,62,4,ruda,3,1,Suaugęs
103,v,401,85,4,juoda,2,1,Senjoras
104,v,90,89,4,pilka,3,4,Senjoras
105,m,101,12,3,ruda,2,4,Šuniukas
106,m,6,14,4,ruda,3,4,Jaunas
107,m,39,25,3,juoda,2,4,Suaugęs
108,v,106,8,3,ruda,2,4,Šuniukas
109,v,404,5,2,juoda,2,3,Šuniukas
110,v,37,37,3,juoda,2,4,Suaugęs
111,m,181,25,2,ruda,2,4,Suaugęs
112,m,327,36,4,ruda,2,4,Suaugęs
113,v,36,92,4,ruda,2,4,Senjoras
114,v,17,135,1,smelio,3,1,Senjoras
115,v,75,0,4,juoda,2,1,Šuniukas
116,m,55,-1,4,juoda,2,1,Šuniukas
117,m,43,2,1,juoda,2,1,Šuniukas
118,m,119,22,4,juoda,2,1,Jaunas
119,v,39,2,4,balta,1,1,Šuniukas
120,v,39,74,1,smelio,2,1,Senjoras
121,v,120,10,4,juoda,3,1,Šuniukas
122,m,160,24,3,balta,1,1,Jaunas
123,m,381,2,1,balta,2,1,Šuniukas
124,m,32,7,3,juoda,3,4,Šuniukas
125,m,213,12,1,juoda,2,4,Šuniukas
126,m,28,25,4,juoda,2,4,Suaugęs
